order_id,customer_id,product_id,order_date,qty,unit_price,discount_pct,status,reject_reason
O0007,C046,P001,2026-08-04,-2,996.79,0,paid,qty <= 0
O0021,C014,P005,2026-08-04,2,1299.0,150,cancelled,discount_pct out of range
O0034,C041,P004,not-a-date,2,390.89,0,paid,invalid order_date
O0091,C019,P015,01/08/2026,2,-100.0,5,completed,unit_price <= 0
O0003,C042,P013,2026-08-01 00:00:00,1,1390.08,10,pending,status not paid/completed
O0008,C015,P005,2026-08-04 00:00:00,3,1299.0,0,pending,status not paid/completed
O0009,C055,P013,2026-08-01 00:00:00,2,1390.08,10,pending,status not paid/completed
O0010,C009,P008,2026-08-01 00:00:00,4,330.64,0,pending,status not paid/completed
O0012,C007,P012,2026-08-01 00:00:00,1,686.96,0,pending,status not paid/completed
O0014,C033,P002,2026-08-03 00:00:00,1,757.5,5,cancelled,status not paid/completed
O0017,C035,P006,2026-08-03 00:00:00,2,1322.8,0,cancelled,status not paid/completed
O0019,C029,P009,2026-08-04 00:00:00,3,754.77,0,cancelled,status not paid/completed
O0020,C033,P014,2026-08-02 00:00:00,3,586.17,10,cancelled,status not paid/completed
O0022,C032,P004,2026-08-04 00:00:00,4,390.89,0,cancelled,status not paid/completed
O0023,C001,P010,2026-08-01 00:00:00,4,1072.6,0,cancelled,status not paid/completed
O0026,C016,P008,2026-08-01 00:00:00,4,330.64,5,pending,status not paid/completed
O0032,C045,P009,2026-08-01 00:00:00,4,754.77,10,pending,status not paid/completed
O0033,C053,P009,2026-08-04 00:00:00,2,754.77,0,cancelled,status not paid/completed
O0035,C059,P012,2026-08-01 00:00:00,3,686.96,5,cancelled,status not paid/completed
O0039,C026,P011,2026-08-01 00:00:00,1,1236.35,0,cancelled,status not paid/completed
O0040,C044,P006,2026-08-01 00:00:00,3,1322.8,5,cancelled,status not paid/completed
O0045,C021,P007,2026-08-03 00:00:00,4,344.97,5,pending,status not paid/completed
O0047,C012,P007,2026-08-02 00:00:00,4,344.97,5,pending,status not paid/completed
O0049,C999,P002,2026-08-04 00:00:00,4,757.5,0,cancelled,status not paid/completed
O0051,C053,P015,2026-08-01 00:00:00,4,750.94,5,cancelled,status not paid/completed
O0053,C047,P003,2026-08-02 00:00:00,1,503.9,5,pending,status not paid/completed
O0055,C018,P011,2026-08-02 00:00:00,3,1236.35,0,pending,status not paid/completed
O0058,C040,P002,2026-08-02 00:00:00,2,757.5,10,pending,status not paid/completed
O0060,C017,P005,2026-08-02 00:00:00,3,1299.0,10,cancelled,status not paid/completed
O0061,C037,P014,2026-08-03 00:00:00,1,586.17,0,cancelled,status not paid/completed
O0062,C039,P011,2026-08-03 00:00:00,1,1236.35,0,pending,status not paid/completed
O0063,C031,P003,2026-08-04 00:00:00,4,503.9,0,pending,status not paid/completed
O0064,C032,P007,2026-08-04 00:00:00,3,344.97,10,cancelled,status not paid/completed
O0065,C020,P006,2026-08-03 00:00:00,3,1322.8,5,cancelled,status not paid/completed
O0070,C049,P004,2026-08-04 00:00:00,1,390.89,0,pending,status not paid/completed
O0073,C023,P009,2026-08-01 00:00:00,2,754.77,5,pending,status not paid/completed
O0074,C009,P011,2026-08-03 00:00:00,4,1236.35,5,cancelled,status not paid/completed
O0076,C047,P999,2026-08-03 00:00:00,2,503.9,0,cancelled,status not paid/completed
O0077,C058,P005,2026-08-02 00:00:00,3,1299.0,5,cancelled,status not paid/completed
O0084,C052,P002,2026-08-04 00:00:00,4,757.5,0,pending,status not paid/completed
O0086,C010,P011,2026-08-02 00:00:00,3,1236.35,0,pending,status not paid/completed
O0088,C035,P002,2026-08-04 00:00:00,4,757.5,10,pending,status not paid/completed
O0092,C024,P015,2026-08-02 00:00:00,1,750.94,10,cancelled,status not paid/completed
O0093,C039,P015,2026-08-03 00:00:00,3,750.94,5,pending,status not paid/completed
O0095,C024,P014,2026-08-01 00:00:00,3,586.17,5,pending,status not paid/completed
O0096,C038,P007,2026-08-04 00:00:00,2,344.97,5,pending,status not paid/completed
O0097,C035,P003,2026-08-01 00:00:00,2,503.9,0,pending,status not paid/completed
O0098,C057,P014,2026-08-01 00:00:00,3,586.17,0,cancelled,status not paid/completed
O0100,C042,P014,2026-08-01 00:00:00,4,586.17,5,cancelled,status not paid/completed
O0103,C046,P004,2026-08-04 00:00:00,4,390.89,5,pending,status not paid/completed
O0104,C026,P006,2026-08-02 00:00:00,3,1322.8,0,pending,status not paid/completed
O0105,C032,P009,2026-08-04 00:00:00,1,754.77,0,pending,status not paid/completed
O0110,C025,P007,2026-08-02 00:00:00,3,344.97,0,pending,status not paid/completed
O0114,C038,P004,2026-08-04 00:00:00,4,390.89,0,pending,status not paid/completed
O0116,C041,P009,2026-08-02 00:00:00,4,754.77,10,pending,status not paid/completed
O0117,C059,P006,2026-08-03 00:00:00,1,1322.8,0,pending,status not paid/completed
O0120,C029,P013,2026-08-03 00:00:00,2,1390.08,0,pending,status not paid/completed
O0121,C011,P013,2026-08-01 00:00:00,3,1390.08,5,cancelled,status not paid/completed
O0124,C053,P003,2026-08-02 00:00:00,1,503.9,5,cancelled,status not paid/completed
O0126,C048,P010,2026-08-01 00:00:00,3,1072.6,0,pending,status not paid/completed
O0129,C020,P007,2026-08-04 00:00:00,1,344.97,5,pending,status not paid/completed
O0131,C007,P011,2026-08-03 00:00:00,4,1236.35,0,pending,status not paid/completed
O0133,C037,P002,2026-08-01 00:00:00,4,757.5,0,cancelled,status not paid/completed
O0140,C015,P001,2026-08-01 00:00:00,2,996.79,10,pending,status not paid/completed
O0142,C050,P003,2026-08-03 00:00:00,4,503.9,5,pending,status not paid/completed
O0148,C040,P009,2026-08-04 00:00:00,2,754.77,0,cancelled,status not paid/completed
O0150,C050,P002,2026-08-01 00:00:00,2,757.5,10,cancelled,status not paid/completed
O0156,C049,P010,2026-08-01 00:00:00,3,1072.6,0,cancelled,status not paid/completed
O0157,C036,P013,2026-08-03 00:00:00,1,1390.08,0,pending,status not paid/completed
O0158,C012,P013,2026-08-02 00:00:00,2,1390.08,10,cancelled,status not paid/completed
O0159,C038,P011,2026-08-01 00:00:00,1,1236.35,0,pending,status not paid/completed
